20
915 968
570 145 381
54 362 61
850 503 -424
692 350 798
649 364 -152
316 170 43
751 509 -865
101 362 -489
814 809 967
461 855 380
170 668 539
108 903 85
596 598 927
132 428 -115
797 279 68
367 889 -268
65 612 -536
764 907 -37
146 870 245
80 89 144
588 209 747
21 730 -353
146 700 -933
427 385 641
299 111 -520
297 435 -293
397 322 -146
700 101 -248
578 75 -141
819 500 -963
721 63 955
219 100 -445
797 140 -92
631 411 232
245 179 -278
709 695 -945
611 662 120
173 568 307
545 304 -405
543 149 564
890 615 1000
325 505 374
308 92 -443
191 594 134
48 93 -141
200 620 -604
531 529 -260
407 613 753
134 55 53
793 89 780
138 556 -773
83 95 -697
292 689 -683
200 662 616
846 689 352
906 96 -4
514 175 -242
353 584 -861
613 347 415
346 660 -582
373 559 -763
611 780 -218
738 136 693
117 465 146
645 811 133
527 808 -160
116 209 857
807 418 346
341 718 -38
696 19 -686
48 352 -455
532 830 83
528 188 290
413 432 -399
586 151 678
339 664 -760
689 445 577
372 837 391
115 679 891
73 606 -184
627 450 -246
280 414 111
550 278 -234
148 703 -833
401 651 764
443 843 -256
147 179 -80
202 627 -865
283 520 925
609 562 83
111 176 947
230 435 -106
246 366 -938
670 140 254
228 812 -179
685 94 -856
36 113 320
330 445 625
858 627 -931
718 550 995
670 796 35
434 879 789
885 510 580
597 109 -230
39 140 81
364 80 115
597 311 416
225 711 -179
580 19 -604
477 622 -967
40 15 -50
338 806 208
606 726 -361
626 11 117
281 708 249
657 513 -49
825 212 -562
50 858 871
28 181 -342
674 510 486
464 162 -39
749 356 96
822 529 969
126 41 930
798 550 -523
805 449 373
758 603 -750
92 292 830
61 625 -138
339 77 -292
249 584 -407
356 14 390
45 285 -73
117 335 554
130 699 -817
801 708 28
755 483 -88
68 399 506
345 156 -543
276 565 222
727 526 -354
226 159 -509
29 873 74
82 591 621
651 714 153
689 448 -296
359 546 793
481 157 -711
684 543 -877
451 901 -315
16 496 -669
552 608 -44
175 160 470
650 743 985
177 709 626
352 698 276
284 490 396
906 908 -558
386 855 862
779 551 -622
57 533 -525
907 646 -29
710 737 -847
58 381 736
695 889 292
25 519 -809
187 492 949
531 432 -578
669 66 -220
145 539 -311
449 368 -121
811 200 -734
753 873 -659
694 265 -240
392 438 342
784 804 762
833 366 883
454 431 626
19 673 674
787 628 672
471 344 479
875 170 -240
298 389 -977
475 343 506
206 334 -655
474 568 789
191 217 284
813 383 -19
221 392 -817
14 628 -222
182 5 -480
337 448 390
107 322 848
369 350 -859
750 254 -108
348 623 -379
188 404 -676
542 481 651
486 207 983
403 224 789
269 53 630
359 576 -278
143 905 -730
535 600 -492
600 298 630
232 431 -720
670 311 -607
115 783 839
463 153 803
381 192 -95
73 75 209
478 237 195
537 848 703
522 208 -811
401 130 -900
219 364 -824
558 375 -9
661 122 -819
401 481 50
466 400 -503
714 151 -727
548 398 -935
42 626 624
318 211 -397
186 890 -684
70 38 70
386 511 589
436 487 466
54 278 -804
676 447 -528
390 456 -395
284 101 986
229 21 -279
739 23 438
347 194 -937
530 865 814
360 352 868
674 292 623
746 92 151
722 2 -114
884 340 757
141 134 -832
428 897 -43
675 528 -567
194 298 -503
507 247 645
441 359 844
317 187 -811
876 852 -774
156 873 -94
689 488 327
829 758 923
376 313 -234
794 501 -74
885 739 888
199 851 -764
480 647 -690
302 392 -610
853 349 -731
598 792 -280
146 768 -581
489 854 806
885 586 597
362 850 371
814 666 -407
723 577 -804
620 849 947
871 134 420
132 719 -511
214 729 608
700 817 -619
695 312 884
880 532 -809
233 220 -522
575 275 -181
108 317 -908
914 51 -352
181 68 -859
881 328 876
457 746 -990
303 201 378
872 819 495
629 62 824
690 193 389
847 366 387
430 536 912
19 793 -819
720 188 268
733 100 -788
21 867 243
614 272 34
432 654 887
188 138 -811
676 584 -548
354 371 -122
380 281 549
622 837 -231
347 908 -471
293 731 -71
419 838 -924
255 121 546
267 253 291
771 808 470
774 521 -386
83 912 854
235 870 14
205 120 209
555 594 -365
585 213 -624
745 384 -482
84 157 -23
594 906 -446
344 633 757
488 127 810
325 317 882
135 161 -215
686 728 -272
678 366 979
77 794 -799
44 630 816
294 163 535
600 506 -787
742 626 -948
484 419 -716
869 182 89
84 259 182
84 764 -720
830 35 101
440 905 -695
530 725 592
321 858 -424
537 634 -932
124 567 -241
180 133 -212
23 239 463
819 4 -743
884 545 136
786 609 -897
300 775 -862
686 439 404
646 705 496
785 560 -594
640 72 266
775 358 -970
742 126 416
838 564 -9
759 210 47
287 909 607
700 409 774
305 863 711
80 311 -569
119 701 586
488 865 652
260 483 559
290 340 -758
880 18 116
860 699 327
687 584 -287
751 475 -641
735 35 -635
74 603 555
740 520 961
678 311 488
390 248 180
894 601 739
666 823 -848
279 887 86
700 327 207
320 147 710
37 151 854
668 912 728
93 738 -786
173 431 -906
474 592 569
488 258 804
799 651 689
808 302 -372
506 167 854
331 700 713
616 861 648
565 737 748
371 157 135
293 840 287
302 570 -584
332 163 661
683 542 -211
624 476 886
421 158 864
914 387 170
85 680 341
480 866 -410
705 12 -280
492 3 507
7 561 -553
407 43 775
315 898 -526
399 489 712
106 18 894
636 758 -83
703 913 575
1 671 650
83 732 584
586 684 -518
831 216 22
252 425 938
26 849 574
207 905 436
283 829 -699
642 501 -622
200 883 368
793 216 -307
30 707 -171
529 288 -560
638 278 716
58 418 485
449 737 372
752 729 596
818 77 409
238 680 -848
306 798 751
233 729 622
481 499 859
687 746 -684
310 279 -883
380 698 -509
91 118 83
181 561 -306
445 130 926
75 237 -99
437 870 -196
130 343 -437
647 906 663
381 139 -544
81 706 453
247 422 680
485 201 484
697 681 -237
470 95 63
543 508 190
192 833 837
451 685 -480
815 628 418
830 29 428
360 130 -346
91 603 -577
181 858 -359
334 867 -676
466 144 12
251 91 353
500 530 321
539 391 -113
813 309 -82
602 215 -987
591 535 18
33 765 868
246 652 -998
563 495 -87
356 840 -704
40 745 975
577 636 -936
821 186 572
587 494 87
240 657 -215
466 271 -10
242 222 -725
329 103 -136
493 774 -422
731 752 -496
224 295 -229
720 659 966
219 26 -605
747 225 188
98 13 -140
471 114 -422
908 690 22
473 591 523
651 188 682
261 599 -550
379 763 -894
212 340 329
603 732 857
181 403 81
46 577 -901
211 519 737
789 31 -30
362 249 -25
349 808 -311
751 714 -796
851 710 94
227 590 -987
701 481 75
297 12 67
823 685 244
871 311 473
836 613 548
702 91 -469
60 108 785
539 744 -902
578 400 -964
744 347 -797
583 213 519
659 143 -486
444 421 564
45 539 -766
241 825 -665
543 675 -863
183 439 73
539 418 -851
152 302 -735
596 339 87
886 719 937
685 378 512
845 483 -910
793 614 612
443 148 914
462 127 -843
493 352 -762
277 659 718
625 101 -513
407 444 19
491 185 901
119 83 -4
506 497 -677
203 533 -400
614 511 -778
455 882 -967
51 507 -475
492 847 -543
368 846 647
412 677 238
538 645 182
475 2 -600
90 867 -387
502 557 545
127 169 270
82 619 -380
73 878 -513
316 605 526
766 732 763
838 727 353
23 527 -440
702 412 461
382 8 -138
353 745 911
170 515 712
511 629 -52
751 605 93
319 867 -813
545 794 584
684 600 -943
122 198 -732
593 644 -957
763 34 883
331 77 132
561 129 140
746 730 762
108 329 -338
58 216 -587
187 836 929
605 610 343
447 352 -794
458 446 -863
216 312 857
624 655 -141
825 873 410
390 451 114
771 731 90
101 331 -227
194 30 594
426 737 -766
782 499 -741
881 570 482
886 320 -740
465 118 -551
309 549 -393
902 62 487
893 807
882 648 -171
13 382 911
803 577 170
826 403 -258
16 208 353
615 605 -743
826 408 288
792 290 -335
245 635 -196
380 636 -847
373 318 -692
379 111 -87
140 392 720
397 462 -630
664 872 937
149 159 -294
881 318 -704
533 344 91
621 783 285
837 464 -785
660 691 -895
312 617 -954
833 825 187
825 432 563
795 286 -798
71 416 144
649 571 -730
871 319 233
769 336 933
612 339 -304
407 305 -491
226 259 806
443 552 -191
443 680 405
593 109 -191
340 171 780
629 880 134
225 624 973
572 521 58
470 829 515
416 162 -511
653 866 -758
565 327 -942
616 264 499
423 553 753
402 494 -145
468 6 -770
93 510 446
71 204 876
469 740 -271
765 623 117
558 238 691
842 549 -245
815 817 -243
328 475 351
295 90 970
302 682 -387
344 537 201
523 447 410
396 387 858
473 477 559
466 426 956
462 28 -864
479 606 193
787 555 208
769 668 625
614 625 -545
423 589 254
743 456 -405
556 458 611
529 573 -184
509 540 914
244 31 205
397 396 -338
430 727 981
585 208 570
648 664 392
628 8 -106
502 388 -186
306 76 691
501 714 -491
171 259 -825
701 5 851
242 171 -996
586 63 37
597 700 -258
503 866 667
706 677 760
396 161 213
657 889 -255
843 709 638
778 637 64
352 430 868
701 717 -263
877 169 -586
145 714 68
163 170 -623
774 566 -239
68 684 -345
38 396 194
346 78 -725
524 666 -186
453 537 855
66 580 -769
206 126 659
372 788 -8
869 799 430
218 273 -399
295 169 -353
563 21 -814
439 128 314
268 527 736
367 409 -940
38 487 463
371 404 59
29 384 396
757 123 -980
541 234 186
522 80 116
312 641 -888
800 864 66
14 399 -220
415 234 314
719 699 -730
55 225 994
31 308 -73
822 342 -25
720 194 746
557 661 -145
218 832 -203
423 598 -767
413 833 957
631 130 -848
889 426 356
755 374 264
60 273 693
867 629 -756
405 564 -132
801 412 -109
453 814 209
659 702 543
755 327 -381
582 110 -541
70 588 953
556 547 496
144 664 468
362 13 51
786 155 -685
683 505 -683
887 173 -116
673 205 643
816 667 -170
407 38 621
293 328 -97
40 239 648
66 341 449
695 498 -108
403 153 -992
750 516 -224
683 377 44
93 42 -885
831 403 199
145 96 797
332 722 -616
377 397 193
265 860 493
207 194 -457
357 553 -939
182 856 615
412 524 794
432 805 842
232 76 -157
410 552 486
625 741 301
250 819 595
488 318 -269
562 159 -92
218 697 -924
9 506 281
763 679 -931
371 887 206
12 502 -552
101 744 351
105 698 -415
253 839 -174
178 609 466
620 683 117
104 202 -189
780 515 -689
824 435 -78
711 319 86
605 736 352
655 189 -658
576 826 478
268 145 536
106 767 394
230 171 997
16 9 769
588 687 831
573 622 -997
403 205 601
478 572 708
530 471 532
161 289 58
429 656 -820
738 657 455
138 25 -935
519 641 430
67 177 910
332 188 -603
344 18 793
185 712 -689
861 38 -840
634 561 -73
462 489 -775
755 637 688
813 472 -412
651 427 360
266 634 -133
705 337 510
427 48 -995
150 421 -975
784 75 -833
167 162 378
532 162 -174
465 852 235
744 128 -77
506 105 861
841 314 404
481 658 286
537 415 -794
300 75 861
128 750 -964
741 483 835
170 287 -225
75 670 -973
699 256 612
684 559 922
888 789 -350
482 14 50
466 444 506
2 799 -657
79 721 812
6 804 -277
30 840 964
575 712 670
709 1 421
411 24 485
21 160 101
660 352 -206
551 254 394
16 391 -333
697 145 -630
735 715 434
674 34 -9
350 100 348
87 407 831
164 682 288
292 324 973
579 480 842
74 230 -225
737 874 268
209 112 53
676 328 333
772 328 831
883 4 -863
409 633 -85
76 388 -322
546 723 -981
118 385 70
875 352 125
459 23 695
797 20 -517
215 68 807
416 481 846
397 367 594
305 467 532
222 771 -512
346 732 -569
635 231 617
533 83 767
511 73 164
773 820 433
850 378 -82
735 756 196
668 800 318
389 544 979
7 601 -769
518 890 598
288 548 -808
691 890 796
365 709 242
589 438 -417
466 111 318
619 420 -591
485 275 -834
766 92 176
401 103 -876
847 351 333
134 865 -175
281 875 96
281 564 -914
202 783 988
338 408 -386
803 222 -324
109 827 -829
63 1 420
851 729 690
550 724 -943
18 227 431
239 871 718
524 250 -968
745 224 889
565 223 757
361 318 92
768 350 886
173 804 256
308 168 -49
264 192 820
237 116 643
9 160 -930
1 221 198
331 712 -920
845 83 836
66 177 -200
127 477 -326
790 533 814
268 87 -467
459 849 825
455 203 -975
380 713 327
520 622 -139
731 524 -783
813 638 -14
465 789 -703
176 818 -564
446 458 -712
835 487 -482
419 741 515
299 879 -960
340 775 -552
296 742 528
865 90 758
751 324 -606
725 557 -120
339 215 -764
124 258 -717
642 641 955
381 594 -496
122 453 426
627 774 -263
146 282 618
251 745 -427
871 219 462
380 218 229
695 227 -342
178 545 -629
577 692 562
48 518 66
823 459 -664
199 629 98
634 59 -885
520 580 -746
501 306 -606
826 307 -608
768 438 639
757 577 602
484 569 587
49 325 49
886 268 767
536 661 -150
846 313 21
562 718 545
506 658 -754
544 119 -822
814 36 -427
19 539 206
818 206 -738
90 178 553
235 645 -193
725 499 275
528 844 200
336 308 823
823 761 -285
591 874 -486
599 545 134
330 35 -970
883 677 794
181 516 -174
90 471 -41
469 577 -581
18 97 466
418 714 -324
728 70 -27
553 765 611
27 326 -149
893 717 -302
526 403 666
33 576 -725
35 790 -704
682 776 736
323 521 572
479 557 405
238 538 238
755 623 -621
871 200 439
736 92 -343
768 418 -737
428 387 -138
37 366 -648
595 381 812
102 62 -723
559 539 -232
203 688 -215
821 838 -369
413 253 -297
120 238 -167
163 267 -951
746 863 630
561 874 -973
501 273 829
8 73 853
270 781 -150
858 678 -696
277 737 139
711 26 367
184 3 -349
859 218 -406
100 137 -329
76 142 -600
497 54 508
659 775 146
818 454 450
811 39 167
176 783 -313
148 735 210
617 2 -455
245 649 781
536 208 -840
360 531 332
857 77 488
8 257 -308
251 609 -472
183 772 -776
314 14 -455
790 559 -472
568 14 887
562 868 -975
258 366 73
158 251 -397
762 807 -768
4 541 255
412 722 993
232 842 -598
299 201 -786
417 732 -587
225 804 360
489 53 -239
284 270 554
172 578 68
355 295 -814
719 758 -985
655 607 116
553 19 292
371 883 -207
308 874 -84
142 669 902
391 674 -125
154 880 837
858 844 -594
245 540 804
490 204 -436
773 153 -319
195 397 -872
427 454 -892
801 271 701
149 322 -865
237 877 167
186 721 -412
338 492 -841
361 834 -444
295 201 977
640 849 481
125 823 -569
115 723 718
230 317 252
427 165 -342
440 600 -532
339 641 -207
530 354 232
848 677 -520
214 639 -11
852 727 -511
485 642 964
335 454 425
477 276 643
810 312 -397
366 90 217
322 791 -210
169 430 -473
221 278 -104
173 467 -241
533 674 -185
720 479 708
822 653 -522
862 223 -725
439 826 616
612 829 -303
338 72 -327
534 883 162
556 133 -855
89 600 -425
230 394 -26
490 44 313
223 242 -308
867 439 -764
334 335 -890
757 624 -719
559 746 -286
510 127 -337
72 440 445
681 881 241
666 701 -308
183 150 759
9 756 -753
702 43 921
24 663 -465
257 238 -525
349 816 -241
587 453 755
691 105 -950
852 142 167
658 495 -921
155 94 -237
640 543 -603
690 470 470
602 526 592
339 818 33
746 63 833
726 649 783
455 781 -245
633 359 847
110 431 -234
216 675 -228
319 479 193
791 643 -846
526 161 454
419 715 -772
503 352 944
822 139 851
350 660 111
582 130 -113
847 340 383
449 31 -683
401 532 -614
5 565 -886
183 559 -957
719 675 -293
749 196 -689
381 157 57
300 748 281
480 256 67
122 256 -258
32 743 -846
177 877 748
342 204 -54
64 547 -724
120 682 932
94 3 50
360 345 335
654 272 527
803 828 -416
714 245 -71
247 102 -36
211 308 -817
800 197 -219
145 788 747
244 98 -882
175 665 -443
770 196 -964
667 861 770
688 314 -596
298 341 774
220 267 893
864 405 382
512 413 3
239 564 414
667 330 -761
203 876 872
162 77 283
784 29 622
671 674 -373
325 128 -890
73 663 573
847 649 -802
325 533 205
443 482 -149
603 162 112
680 282 -840
849 27 -983
467 434 767
252 685 -299
289 505 -428
822 301 629
634 852 288
218 84 50
214 471 -31
262 593 -70
130 406 -838
431 345 623
357 214 494
275 759 304
66 167 -613
172 703 996
498 33 -342
48 211 39
234 770 -314
841 809 -107
226 687 -605
189 85 -996
187 890 356
827 542 832
711 453 282
118 573 -339
771 76 -213
66 392 971
477 183 114
144 468 -328
679 456 -244
419 517 -715
202 854 491
541 544 812
839 730 901
778 761 152
10 276 -223
234 656 158
801 215 955
28 180 -832
190 347 -979
414 475 -401
167 141 -658
338 539 -868
653 207 155
113 587 626
407 582 -979
279 143 -529
855 852 -876
131 268 -195
102 850 618
20 256 -666
783 444 -647
740 484 -631
542 666 122
691 796 727
743 217 868
87 758 -288
204 797 -62
874 313 -470
707 635 -674
881 814 154
265 618 -35
735 647 717
498 89 880
817 689 -911
133 233 -279
606 645 198
272 687 689
523 764 679
893 310 -90
247 315 -739
544 630 -437
626 599 332
578 670 -273
597 67 -595
724 407 -850
465 175 -64
823 165 767
545 709 -341
311 264 -924
129 166 -288
645 594 -66
80 862 724
136 175 -138
430 210 580
558 544 -191
139 310 409
211 378 -684
416 111 -459
270 193 -925
483 554 597
467 838 864
809 215 -699
365 812 427
778 688 738
382 35 -786
3 363 -632
76 625 -892
209 177 658
65 487 -885
315 35 478
361 700 813
229 255 883
768 367 -648
448 513 -828
224 193 -258
414 499 328
82 122 625
306 458 58
618 702 912
774 340 675
455 518 -954
64 807 -366
704 249 -998
148 665 -534
415 78 -574
567 388 -357
524 818 -752
883 844 878
106 852 56
27 349 -816
162 76 372
215 243 593
883 841 793
459 18 -683
415 113 430
128 581 360
273 90 722
464 301 -908
397 308 -451
121 382 -718
634 714 231
491 617 -365
258 387 -737
756 860 -431
270 599 748
624 453 668
90 643 -176
130 303 939
186 448 735
58 789 -958
636 464 709
866 708 668
753 357 204
254 376 961
282 21 -947
658 330 823
661 514 13
359 759 -1
232 322 703
224 9 860
291 508 444
334 306 174
77 602 619
395 86 -508
624 296 744
506 593 -376
754 718 -478
305 285 225
683 161 901
819 177 6
788 193 -27
781 770 659
375 418 -336
555 580 104
224 111 -132
130 708 82
249 711 881
365 182 -127
793 282 -561
281 441 64
207 734 -804
640 348 -825
878 719 978
723 30 -896
402 524 -249
654 649 -857
557 538 -416
303 236 403
622 646 49
715 396 116
612 91 16
444 793 -943
286 440 -416
683 529 -33
275 405 188
236 527 436
415 627 -680
567 320 898
342 183 478
65 304 3
228 175 523
122 641 -233
870 869 -202
617 586 590
318 473 39
862 590 850
52 705 -886
324 770 -823
279 94 151
734 32 891
499 368 -175
268 252 -496
327 95 -228
339 97 481
195 756 593
389 704 -505
20 16 -504
831 824
417 414 -899
312 706 961
723 264 525
644 22 -718
672 701 862
23 262 325
353 240 -697
155 284 873
250 217 928
755 8 -163
583 244 985
457 581 804
621 280 -551
31 313 -926
822 691 875
751 386 -861
727 48 -827
108 506 -196
731 149 -989
536 730 -778
717 639 930
319 263 -987
396 130 461
466 496 330
789 579 822
543 640 -329
581 102 -95
304 758 -229
578 53 -388
456 597 -58
600 505 29
325 4 792
41 288 330
113 369 710
424 698 553
698 211 106
459 601 491
281 829 -418
111 810 180
590 732 -500
530 732 201
47 344 227
493 617 -964
727 152 355
644 732 553
161 658 637
522 277 926
602 572 705
799 424 -717
367 523 -273
235 681 918
45 49 906
791 760 -854
73 443 -572
97 131 49
811 670 980
828 21 -840
647 130 209
512 291 -636
557 403 -393
259 641 64
517 307 94
503 444 292
742 25 -599
470 57 336
449 234 -233
501 411 -575
285 183 -903
827 431 -563
733 137 -525
766 323 395
23 715 -84
24 715 -949
88 808 -867
287 342 780
167 566 -736
542 549 432
425 634 -94
729 386 473
617 576 364
184 321 405
381 177 -879
525 826 85
59 375 -624
266 511 -532
40 625 -261
504 360 821
260 149 512
605 12 -660
384 249 591
723 208 -660
303 779 588
22 148 -289
752 223 799
353 541 -565
746 72 -152
314 64 -524
371 737 -215
493 327 222
174 607 28
170 636 -536
162 163 -82
772 440 -587
544 48 276
528 799 540
78 826 -503
539 510 -951
628 481 -238
823 189 -725
592 87 -164
367 570 734
701 659 724
90 768 -599
343 75 -42
301 289 23
698 677 131
476 121 283
7 285 -830
439 449 255
396 357 282
22 265 -421
349 626 -820
420 553 464
602 202 -699
700 697 -260
721 139 -400
66 591 -846
753 789 -732
773 28 -124
524 338 318
682 91 -346
814 533 -135
801 470 122
148 142 446
121 156 558
714 806 -277
705 724 882
255 88 -650
368 686 932
824 432 404
178 12 487
321 468 -198
120 759 -499
820 153 750
590 655 -436
31 764 -371
827 291 -198
638 759 -515
136 104 -394
283 437 976
722 353 380
269 296 -847
434 794 -619
475 797 614
519 492 -671
132 708 -391
55 726 -966
191 384 -134
224 776 -317
817 424 276
33 29 -95
133 162 927
275 724 -802
319 770 -253
306 70 763
24 382 -313
819 659 -800
202 6 610
363 573 -281
288 274 662
250 66 -979
145 278 -762
488 326 218
593 689 -913
466 33 -132
715 735 -286
670 764 851
451 360 52
666 25 -28
89 128 -333
785 586 134
433 128 -877
112 208 167
13 708 419
346 345 -465
556 390 544
305 679 730
592 496 -611
552 272 224
17 130 430
83 637 223
793 248 15
790 128 727
48 494 -715
630 224 806
408 707 670
752 245 671
789 427 545
231 587 340
277 24 -58
785 264 754
135 44 123
471 779 71
756 674 -783
507 90 853
415 125 -3
373 365 -392
803 559 -990
118 401 727
410 23 -149
717 822 890
773 43 114
745 570 -760
726 746 -559
50 51 521
344 513 335
665 567 533
585 334 -639
127 421 -37
473 89 -174
436 430 683
166 738 -153
764 362 -670
725 409 -344
640 688 -965
151 497 -735
300 139 -633
342 640 109
426 153 -868
553 331 62
828 729 -780
127 526 821
290 209 -624
93 507 271
84 531 -347
331 694 452
256 515 -963
278 584 322
152 88 40
161 524 733
442 425 -359
82 643 384
566 811 -630
212 329 -6
176 68 805
160 585 85
291 454 556
645 294 -735
524 310 406
335 443 -976
754 801 -710
400 646 -579
587 646 -688
57 457 364
305 508 794
697 611 -116
741 593 355
454 63 -263
818 513 -342
695 520 -131
408 306 -561
166 535 -327
166 709 882
521 356 85
697 545 -997
755 256 662
825 13 822
117 157 80
655 785 -924
240 771 198
97 827 211
191 667 -514
216 709 92
528 384 -569
90 824 -956
811 727 -67
763 679 746
495 721 -339
580 741 -932
639 335 506
695 751 -880
616 213 352
763 669 776
365 526 770
817 478 292
781 113 -376
81 690 52
660 114 339
275 497 946
241 91 -149
186 22 -38
596 111 -339
574 753 668
681 784 -809
416 577 -853
784 744 912
756 113 -113
515 72 -840
310 696 -595
39 176 -940
394 157 108
740 680 -497
476 339 -441
79 514 -319
593 231 -539
591 197 990
197 261 811
539 546 725
81 452 -792
648 671 138
693 616 885
825 495 -725
79 387 -886
578 523 -854
828 772 -606
360 244 -161
191 348 432
226 675 -698
445 338 474
768 322 -218
757 828 -399
458 714 -871
226 171 72
28 419 109
732 251 169
442 486 -165
88 531 -480
116 380 217
238 409 -112
527 64 -766
509 248 -725
529 67 643
50 607 66
794 398 -258
814 751 -725
407 582 590
52 596 629
91 323 865
278 776 823
209 71 745
703 802 353
583 225 -651
482 162 951
489 754 425
499 32 934
1 251 181
382 197 390
628 639 -92
73 369 -723
51 279 -803
545 261 -887
622 373 -525
489 504 -253
342 524 -558
261 145 -981
334 156 -56
57 556 -824
623 161 698
569 359 -49
434 369 611
93 229 749
362 93 771
659 717 -27
318 11 -988
47 678 -277
802 90 857
348 588 816
796 360 -873
372 418 152
75 43 -781
410 277 -820
145 675 813
